word,mean,Junior,Senior,CET4,CET6,GEE,GRE,SAT,TOEFL,check
AD,n. 公元；广告（ad）,,☆,,,,,,,
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）,,☆,,,,,,,
Afghanistan,n. 阿富汗(西南亚国家),,,,,,,,☆,
Africa,n.  非洲,☆,☆,☆,,,,,☆,
African,adj. 非洲的，非洲人的 n. 非洲人,,☆,☆,,,,,☆,
Alaska,n. 阿拉斯加州(美国州名),,,,,,,,☆,
Alaskan,n. 阿拉斯加人 a阿拉斯加的,,,,,,,,☆,
Aluminum,n.  铝,,,,,,,☆,,
AluminumAl,n.  铝,,,,,,,☆,,
America,n. 美洲（包括北美和南美洲）；美国,☆,☆,☆,,,,,,
American,n. 美国人，美洲人；美国英语 adj. 美国的，美洲的；地道美国式的,☆,☆,☆,,,,,,
Americana,"n. 有关美国的文物, 史料",,,,,,,,☆,
Americanism,"adj. 美国所创, 美国风俗, 美国精神",,,,,,,,☆,
Amsterdam,n. 阿姆斯特丹(荷兰首都),,,,,,,,☆,
Andromeda,"n. 埃塞俄比亚的公主, 仙女座",,,,,,,,☆,
Anglo,"n. 盎格鲁, 英裔美国人",,,,,,,,☆,
Anglo-Saxon,n.  盎格鲁—撒克逊人,,,,,,,☆,,
Antarctic,adj. 南极的 n.  南极地区,,☆,,,,☆,,,
April,n.  四月,☆,☆,☆,,☆,,,☆,
Arab,n&a. 阿拉伯人(的),,,,,,,,☆,
Arabian,n. 阿拉伯人 a阿拉伯(人)的,,,☆,,,,,☆,
Arabic,adj. 阿拉伯的；阿拉伯人的 n. 阿拉伯语,,☆,,,,,,,
Arctic,adj. 北极的；极寒的 n. 北极圈；御寒防水套鞋,,☆,,,,,,,
Asia,n.  亚洲,☆,☆,☆,,,,,☆,
Asian,n. 亚洲人 adj. 亚洲的；亚洲人的,☆,☆,☆,,,,,☆,
Athenian,n. /a雅典(人)(的),,,,,,,,☆,
Athens,n. 雅典(希腊首都),,,,,,,,☆,
Atlantic,adj. 大西洋的 n.  大西洋,☆,☆,☆,,,,,☆,
August,adj. 威严的；令人敬畏的 n. 八月（简写为Aug）,☆,☆,☆,,,,,☆,
Australia,n. 澳大利亚，澳洲,☆,☆,☆,,,,,☆,
